mofd_label,region,totfoodinsec,weighted_count,percentage
2025m04,Kalimantan,1,2509492.5803222656,14.457954192085623
2025m04,Kalimantan,2,3889038.57421875,22.405940546788948
2025m04,Kalimantan,3,226240.69970703125,1.3034418584850338
2025m04,Kalimantan,4,261782.673828125,1.508210040614138
2025m04,Kalimantan,5,262018.6455078125,1.5095695456241562
2025m04,Kalimantan,8,74353.53125,0.4283734318490221
2025m04,Maluku,0,2188875.6853027344,62.24851425620452
2025m04,Maluku,1,218127.72802734375,6.20324264139545
2025m04,Maluku,2,51047.91015625,1.4517300294608955
2025m04,Maluku,3,631518.814453125,17.959497740553402
2025m04,Maluku,5,165418.171875,4.704257760884254
2025m04,Maluku,6,98483.75390625,2.8007380228127765
2025m04,Maluku,7,162878.0234375,4.632019548688697
2025m04,Nusa Tenggara,0,9505952.855957031,57.99299041805088
2025m04,Nusa Tenggara,1,1986075.37109375,12.116454995165329
2025m04,Nusa Tenggara,2,592186.31005859375,3.6127525062790165
2025m04,Nusa Tenggara,3,642174.0234375,3.917712674599915
2025m04,Nusa Tenggara,4,39167.1640625,0.23894721598112842
2025m04,Nusa Tenggara,5,608652.68359375,3.71320895258318
2025m04,Nusa Tenggara,6,1540472.576171875,9.397964907139396
2025m04,Nusa Tenggara,7,926277.703125,5.650944705466265
2025m04,Nusa Tenggara,8,550596.201171875,3.3590236247348892
2025m04,Papua,0,3829780.9428710938,83.1075787072939
2025m04,Papua,1,56858.0791015625,1.2338400954432074
2025m04,Papua,2,140027.314453125,3.0386414342434565
2025m04,Papua,3,232775.001953125,5.051298516673665
2025m04,Papua,4,205184.203125,4.452568584228364
2025m04,Papua,6,31188.31640625,0.6767973153412943
2025m04,Papua,7,61738.54296875,1.3397478591040497
2025m04,Papua,8,50668.6572265625,1.0995274876720733
2025m04,Sulawesi,0,15274033.941894531,73.97827157701848
2025m04,Sulawesi,1,1880458.9598388672,9.107816844561913
2025m04,Sulawesi,2,1009555.443359375,4.889681864333574
2025m04,Sulawesi,3,1658683.265625,8.03366822094688
2025m04,Sulawesi,4,245473.8642578125,1.1889283645831783
2025m04,Sulawesi,5,261971.513671875,1.2688330965864498
2025m04,Sulawesi,6,54198.966796875,0.2625073310787535
2025m04,Sulawesi,8,262272.873046875,1.2702927008907772
2025m04,Sumatra,0,38160899.07470703,60.33676039307751
2025m04,Sumatra,1,7657837.111083984,12.107919207986809
2025m04,Sumatra,2,3718773.171875,5.8798071132539045
2025m04,Sumatra,3,6115178.08203125,9.668798263222039
2025m04,Sumatra,4,3113706.2509765625,4.923126879998512
2025m04,Sumatra,5,2721573.9609375,4.30312073234049
2025m04,Sumatra,6,739858.3818359375,1.1698010002922798
2025m04,Sumatra,7,205222.87109375,0.32448090848493955
2025m04,Sumatra,8,813467.5244140625,1.286185501343512
2025m05,Java,0,112317520.88183594,68.1906461271747
2025m05,Java,1,22527924.171875,13.677240141369499
2025m05,Java,2,9081950.3779296875,5.513868713479752
2025m05,Java,3,4219478.99609375,2.56174634914157
2025m05,Java,4,4806074.583984375,2.917882523084495
2025m05,Java,5,5156949.8828125,3.130907286712667
2025m05,Java,6,1017142.5703125,0.6175315171533623
2025m05,Java,7,1822237.90625,1.1063241001850928
2025m05,Java,8,3761758.375,2.283853241698863
2025m05,Kalimantan,0,12222318.54296875,66.50001893504006
2025m05,Kalimantan,1,3987901.7681884766,21.69764616781118
2025m05,Kalimantan,2,1150249.1298828125,6.25835340883211
2025m05,Kalimantan,3,835787.51171875,4.547409328235915
2025m05,Kalimantan,4,64660.306640625,0.35180817786987806
2025m05,Kalimantan,5,33789.9111328125,0.183846438157024
2025m05,Kalimantan,8,84713.9765625,0.46091754405383395
2025m05,Maluku,0,1733454.1181640625,52.343281326125876
